page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max,label
/search/all,finder,other,18787,1081,572,23,263,0
/,homepage,other,39089,1899,25618,1580,263,0
/find-a-job,transaction,services,71667,18532,4157,44191,213,1
/browse/working,mainstream_browse_page,other,15967,312,951,84,164,1
/universal-credit,guide,services,4140,217,1076,24,149,0
/contact-jobcentre-plus,guide,services,19282,2123,7788,5298,145,1
/prove-right-to-work,transaction,services,68277,13171,8498,38338,141,1
/apply-apprenticeship,answer,services,52112,11290,2323,36719,140,1
/jobseekers-allowance,guide,services,16855,1102,7080,3136,134,1
/browse/benefits,mainstream_browse_page,other,4393,177,562,34,120,0
/request-copy-criminal-record,transaction,services,29136,6285,2940,16671,119,1
/brexit,taxon,other,999,60,20,1,106,0
/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,document_collection,other,27,4,6,0,103,1
/coronavirus,coronavirus_landing_page,other,1229,146,124,14,94,0
/government/organisations/department-for-work-pensions,organisation,other,4580,129,2677,261,90,0
/view-prove-immigration-status,transaction,services,13167,1859,5891,1326,81,0
/browse/tax,mainstream_browse_page,other,1362,35,25,0,81,0
/browse/working/state-pension,mainstream_browse_page,other,18091,879,3285,852,79,0
/sign-in-universal-credit,transaction,services,7527,3403,2042,349,77,0
/log-in-register-hmrc-online-services,guide,services,1765,652,447,32,76,0
/search/services,finder,other,302,20,3,0,73,0
/browse/visas-immigration,mainstream_browse_page,other,1907,74,191,7,70,0
/apply-national-insurance-number,answer,services,3094,399,1346,416,66,1
/browse/employing-people,mainstream_browse_page,other,1155,44,22,2,65,1
/browse/disabilities,mainstream_browse_page,other,739,22,25,3,64,0
/benefits-calculators,answer,services,3446,1174,297,50,63,0
/browse/working/finding-job,mainstream_browse_page,other,6709,410,753,304,59,1
/access-to-work,guide,services,4966,443,1603,1559,58,1
/government/organisations,finder,other,669,40,16,1,57,0
/criminal-record-checks-apply-role,guide,services,5176,715,810,930,57,1
/government/organisations/hm-revenue-customs,organisation,other,820,50,401,10,56,0
/check-state-pension/sign-in/prove-identity,service_sign_in,other,8214,4915,16,12,54,0
/topic/further-education-skills/apprenticeships,topic,other,7488,415,3189,1185,54,1
/browse/education,mainstream_browse_page,other,1310,38,25,0,53,0
/browse/citizenship,mainstream_browse_page,other,854,22,17,0,53,0
/browse/business,mainstream_browse_page,other,503,21,10,1,53,0
/check-job-applicant-right-to-work,answer,services,4434,614,747,21,52,1
/become-apprentice,guide,services,5377,585,1403,1107,51,1
/government/organisations/disclosure-and-barring-service,organisation,other,6075,249,3500,353,47,0
/national-minimum-wage-rates,answer,services,1569,416,507,179,46,0
/pension-credit,guide,services,1309,79,138,20,46,0
/statutory-sick-pay,guide,services,964,91,172,24,46,0
/browse/working/tax-minimum-wage,mainstream_browse_page,other,1821,169,136,115,45,0
/state-pension-age,smart_answer,services,4405,666,381,36,45,0
/contact-pension-service,answer,services,3599,1324,299,115,45,0
/jobseekers-allowance/apply-new-style-jsa,guide,services,6578,4122,109,50,45,1
/browse/driving,mainstream_browse_page,other,557,14,81,4,45,0
/check-uk-visa,smart_answer,services,768,54,44,3,45,0
/jobseekers-allowance/eligibility,guide,services,8482,1416,313,65,45,1
/browse/working/workplace-personal-pensions,mainstream_browse_page,other,1793,138,45,39,44,0
/browse/visas-immigration/work-visas,mainstream_browse_page,other,973,47,93,3,44,1
/browse/working/time-off,mainstream_browse_page,other,2468,248,131,135,43,0
/employment-support-allowance,guide,services,1663,96,194,12,42,1
/call-charges,answer,services,569,106,58,3,41,0
/browse/births-deaths-marriages,mainstream_browse_page,other,503,21,7,1,41,0
/settled-status-eu-citizens-families,guide,services,1148,85,131,5,41,0
/browse/housing-local-services,mainstream_browse_page,other,355,12,5,0,40,0
/pip,guide,services,545,33,80,3,40,0
/check-state-pension,transaction,services,9239,396,722,31,40,0
/browse/education/find-course,mainstream_browse_page,other,1804,123,265,31,39,0
/browse/abroad,mainstream_browse_page,other,472,11,5,1,38,0
/contact-jobcentre-plus/new-benefit-claims,guide,services,2135,358,104,16,37,1
/dbs-update-service,answer,services,3965,616,1780,768,37,0
/browse/childcare-parenting,mainstream_browse_page,other,336,10,3,0,36,0
/view-right-to-work,transaction,services,9732,4766,1099,351,35,1
/universal-credit/eligibility,guide,services,3280,382,284,19,35,1
/new-state-pension/what-youll-get,guide,services,2671,447,250,43,34,0
/contact-ukvi-inside-outside-uk,simple_smart_answer,services,2279,279,1022,180,34,0
/career-skills-and-training,answer,services,1333,340,195,427,34,1
/moving-from-benefits-to-work/starting-your-own-business,guide,services,580,81,117,38,34,1
/contact-jobcentre-plus/existing-benefit-claims,guide,services,2252,787,201,108,34,0
/employment-rights-for-interns,answer,services,771,78,158,408,33,0
/universal-credit/what-youll-get,guide,services,1369,143,89,3,33,0
/dbs-check-applicant-criminal-record,guide,services,2127,323,441,66,33,1
/guidance/red-amber-and-green-list-rules-for-entering-england,detailed_guide,guidance and regulation,700,174,232,9,33,0
/browse/working/contract-working-hours,mainstream_browse_page,other,1113,114,103,80,33,0
/help,special_route,other,234,37,34,3,33,0
/browse/benefits/disability,mainstream_browse_page,other,677,43,30,6,32,0
/employers-checks-job-applicants,answer,services,769,89,86,106,32,1
/government/publications/right-to-work-checklist,guidance,guidance and regulation,938,357,227,14,32,1
/national-insurance-credits,guide,services,609,30,70,6,32,0
/government/organisations/home-office,organisation,other,328,26,150,5,32,0
/check-national-insurance-record,transaction,services,974,353,98,8,32,0
/guidance/claim-a-grant-through-the-self-employment-income-support-scheme,detailed_guide,guidance and regulation,221,75,22,1,31,1
/employment-contracts-and-conditions,guide,services,403,58,10,0,31,0
/access-to-work/apply,guide,services,1447,815,50,18,31,1
/work-reference,answer,services,998,39,71,858,31,1
/universal-credit/contact-universal-credit,guide,services,717,144,206,9,31,0
/guidance/claim-a-grant-through-the-coronavirus-covid-19-self-employment-income-support-scheme,detailed_guide,guidance and regulation,355,29,86,4,31,1
