page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max
/search/all,finder,other,18787,1081,572,23,263.0
/,homepage,other,39089,1899,25618,1580,247.0
/find-a-job,transaction,services,71667,18532,4157,44191,204.0
/browse/working,mainstream_browse_page,other,15967,312,951,84,179.0
/universal-credit,guide,services,4140,217,1076,24,153.0
/prove-right-to-work,transaction,services,68277,13171,8498,38338,136.0
/apply-apprenticeship,answer,services,52112,11290,2323,36719,132.0
/contact-jobcentre-plus,guide,services,19282,2123,7788,5298,130.0
/request-copy-criminal-record,transaction,services,29136,6285,2940,16671,115.0
/browse/benefits,mainstream_browse_page,other,4393,177,562,34,113.0
/jobseekers-allowance,guide,services,16855,1102,7080,3136,109.0
/brexit,taxon,other,999,60,20,1,106.0
/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,document_collection,other,27,4,6,0,105.0
/coronavirus,coronavirus_landing_page,other,1229,146,124,14,101.0
/government/organisations/department-for-work-pensions,organisation,other,4580,129,2677,261,91.0
/browse/working/state-pension,mainstream_browse_page,other,18091,879,3285,852,88.0
/view-prove-immigration-status,transaction,services,13167,1859,5891,1326,81.0
/sign-in-universal-credit,transaction,services,7527,3403,2042,349,80.0
/browse/tax,mainstream_browse_page,other,1362,35,25,0,75.0
/log-in-register-hmrc-online-services,guide,services,1765,652,447,32,74.0
/topic/further-education-skills/apprenticeships,topic,other,7488,415,3189,1185,72.0
/browse/visas-immigration,mainstream_browse_page,other,1907,74,191,7,68.0
/access-to-work,guide,services,4966,443,1603,1559,67.0
/check-state-pension,transaction,services,9239,396,722,31,61.0
/become-apprentice,guide,services,5377,585,1403,1107,61.0
/benefits-calculators,answer,services,3446,1174,297,50,60.0
/jobseekers-allowance/apply-new-style-jsa,guide,services,6578,4122,109,50,58.0
/browse/disabilities,mainstream_browse_page,other,739,22,25,3,57.0
/apply-national-insurance-number,answer,services,3094,399,1346,416,57.0
/browse/citizenship,mainstream_browse_page,other,854,22,17,0,57.0
/government/organisations,finder,other,669,40,16,1,56.0
/browse/education,mainstream_browse_page,other,1310,38,25,0,56.0
