,page,/find-a-job,/universal-credit,/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,max,median,mean,min
0,/find-a-job,1.0000001,0.9959571,0.99635506,1.0000001,0.99635506,0.9974374,0.9959571
1,/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,0.99635494,0.9992613,0.99999994,0.99999994,0.9992613,0.99853873,0.99635494
2,/universal-credit,0.9959571,0.9999999,0.99926144,0.9999999,0.99926144,0.9984061,0.9959571
3,/new-state-pension,0.99626374,0.9999434,0.9992529,0.9999434,0.9992529,0.9984867,0.99626374
4,/contact-pension-service,0.99536705,0.99994016,0.9988839,0.99994016,0.9988839,0.99806374,0.99536705
5,/benefits-calculators,0.9966092,0.99993026,0.99932563,0.99993026,0.99932563,0.9986217,0.9966092
6,/criminal-record-check-documents,0.9960604,0.9999276,0.99906784,0.9999276,0.99906784,0.9983519,0.9960604
7,/prove-right-to-work,0.99987066,0.9963629,0.99671066,0.99987066,0.99671066,0.99764806,0.9963629
8,/apply-apprenticeship,0.99986506,0.9948966,0.99502045,0.99986506,0.99502045,0.996594,0.9948966
9,/jobseekers-allowance/apply-new-style-jsa,0.9960886,0.99985194,0.9990175,0.99985194,0.9990175,0.9983193,0.9960886
10,/1619-bursary-fund,0.9952432,0.9998417,0.99910027,0.9998417,0.99910027,0.9980617,0.9952432
11,/new-state-pension/your-national-insurance-record-and-your-state-pension,0.9962083,0.99933136,0.99983394,0.99983394,0.99933136,0.9984579,0.9962083
12,/british-citizenship,0.9948513,0.99982756,0.9989468,0.99982756,0.9989468,0.9978752,0.9948513
13,/government/organisations/department-for-work-pensions,0.9998246,0.9971019,0.99739444,0.9998246,0.99739444,0.99810696,0.9971019
14,/browse/tax/income-tax,0.99470764,0.9998056,0.9987254,0.9998056,0.9987254,0.9977462,0.99470764
15,/universal-credit/eligibility,0.99429315,0.9997881,0.9987235,0.9997881,0.9987235,0.99760157,0.99429315
16,/reasonable-adjustments-for-disabled-workers,0.9958662,0.99978083,0.9986577,0.99978083,0.9986577,0.99810153,0.9958662
17,/jobseekers-allowance/eligibility,0.9958676,0.99977666,0.998507,0.99977666,0.998507,0.99805045,0.9958676
18,/browse/tax/national-insurance,0.9969152,0.9997723,0.99924123,0.9997723,0.99924123,0.9986429,0.9969152
19,/browse/employing-people/contracts,0.99731076,0.99976015,0.99958974,0.99976015,0.99958974,0.9988869,0.99731076
20,/check-national-insurance-record,0.9971322,0.9997567,0.99920464,0.9997567,0.99920464,0.9986978,0.9971322
21,/browse/benefits/manage-your-benefit,0.99673533,0.9997509,0.99862486,0.9997509,0.99862486,0.99837035,0.99673533
22,/employing-an-apprentice,0.99417835,0.99974024,0.9985831,0.99974024,0.9985831,0.9975006,0.99417835
23,/national-minimum-wage-rates,0.9997254,0.99672824,0.9971337,0.9997254,0.9971337,0.9978624,0.99672824
24,/new-state-pension/how-its-calculated,0.99521595,0.99863136,0.9997231,0.9997231,0.99863136,0.9978568,0.99521595
25,/view-prove-immigration-status,0.9969924,0.9997225,0.99854296,0.9997225,0.99854296,0.9984193,0.9969924
26,/legal-right-work-uk,0.9945858,0.99970245,0.9989489,0.99970245,0.9989489,0.9977457,0.9945858
27,/contact-hmrc,0.9952469,0.99970233,0.9988103,0.99970233,0.9988103,0.99791986,0.9952469
28,/browse/visas-immigration,0.9958463,0.99970007,0.9984062,0.99970007,0.9984062,0.9979842,0.9958463
29,/new-state-pension/what-youll-get,0.99748045,0.9989496,0.999696,0.999696,0.9989496,0.9987087,0.99748045
30,/browse/working/workplace-personal-pensions,0.9942764,0.99968827,0.9982815,0.99968827,0.9982815,0.99741536,0.9942764
31,/government/publications/right-to-work-checks-employers-guide,0.9977603,0.99866873,0.99968034,0.99968034,0.99866873,0.99870306,0.9977603
32,/check-income-tax-current-year,0.9946547,0.99863076,0.99967754,0.99967754,0.99863076,0.99765426,0.9946547
33,/student-finance,0.9969558,0.9992714,0.9996718,0.9996718,0.9992714,0.9986331,0.9969558
34,/carers-allowance,0.99424595,0.99967074,0.99821234,0.99967074,0.99821234,0.9973764,0.99424595
35,/settled-status-eu-citizens-families/applying-for-settled-status,0.9967299,0.9985683,0.99967027,0.99967027,0.9985683,0.9983228,0.9967299
36,/browse/working,0.9996635,0.99420655,0.9947259,0.9996635,0.9947259,0.99619865,0.99420655
37,/contact-jobcentre-plus,0.9996634,0.997506,0.9975741,0.9996634,0.9975741,0.99824786,0.997506
38,/find-traineeship,0.9960274,0.9996513,0.99836934,0.9996513,0.99836934,0.99801606,0.9960274
39,/browse/working/tax-minimum-wage,0.99446774,0.9996467,0.99836385,0.9996467,0.99836385,0.9974928,0.99446774
40,/access-to-work,0.99660754,0.99964154,0.9986415,0.99964154,0.9986415,0.9982969,0.99660754
41,/settled-status-eu-citizens-families,0.9965838,0.9996382,0.9984535,0.9996382,0.9984535,0.9982252,0.9965838
42,/know-when-you-can-leave-school,0.9954599,0.99963737,0.99851173,0.99963737,0.99851173,0.9978697,0.9954599
43,/browse/driving,0.994783,0.9996314,0.9980799,0.9996314,0.9980799,0.99749804,0.994783
44,/browse/education/find-course,0.99771684,0.99962914,0.9989061,0.99962914,0.9989061,0.9987507,0.99771684
45,/topic/dealing-with-hmrc/paying-hmrc,0.99961156,0.994776,0.99573064,0.99961156,0.99573064,0.99670607,0.994776
46,/government/organisations/uk-visas-and-immigration,0.9996099,0.9967462,0.9962763,0.9996099,0.9967462,0.9975441,0.9962763
47,/browse/disabilities/work,0.9947347,0.9995976,0.999314,0.9995976,0.999314,0.9978821,0.9947347
48,/request-copy-criminal-record,0.9995841,0.9942146,0.9942088,0.9995841,0.9942146,0.9960025,0.9942088
